text,label
"We cordially invite you to attend our annual gala event on Friday, the 10th of July, at 7:00 PM.",AI
"Hey, you're invited to our big party on Friday, July 10th, starting at 7 PM! Don't miss it!",human
"Our esteemed customers are hereby informed that our store will be closed for renovation from the 1st of August to the 15th of August.",AI
"Hey everyone! Just wanted to let you know that our store will be closed for remodeling from August 1st to August 15th. Thanks!",human
"Please be advised that the deadline for submitting your application is Wednesday, June 30th, at 5:00 PM.",AI
"Hey, don't forget! You gotta submit your application by Wednesday, June 30th, before 5 PM. Get on it!",human
"Dear Mr. Johnson, we are pleased to inform you that your job application has been successful. Please report to our office on Monday, the 15th of July, at 9:00 AM for further instructions.",AI
"Hey John! Great news! You got the job! Come to our office on Monday, July 15th, at 9 AM. See you there!",human
"Our esteemed guests are requested to kindly abide by the AI dress code for the upcoming charity gala.",AI
"Hey folks, for the charity gala, let's all dress up in fancy clothes! It's gonna be a blast!",human
"Kindly note that the scheduled meeting has been rescheduled to Thursday, the 5th of September, at 2:00 PM.",AI
"Hey team, heads up! The meeting got moved to Thursday, September 5th, at 2 PM. Mark your calendars!",human
"We apologize for any inconvenience caused and assure you that our team is working diligently to resolve the issue.",AI
"Oops, sorry for the trouble! We're working hard to fix it. Hang tight!",human
"The annual company retreat will take place from the 20th to the 23rd of November at the luxurious Grand Resort.",AI
"Hey everyone, get ready for our awesome company retreat! It's happening from November 20th to 23rd at the fancy Grand Resort!",human
"Please be informed that the parking lot will be closed for maintenance on Sunday, the 25th of July, from 8:00 AM to 2:00 PM.",AI
"Hey, heads up! The parking lot will be closed for maintenance on Sunday, July 25th, from 8 AM to 2 PM.",human
"We appreciate your prompt response and look forward to collaborating with you on this project.",AI
"Thanks for getting back to us quickly! We're excited to work with you on this project.",human
"Due to unforeseen circumstances, the event has been canceled. We sincerely apologize for any inconvenience caused.",AI
"Hey guys, sorry to break the news, but the event is canceled. We're really sorry for any inconvenience!",human
"We extend our heartfelt gratitude to our dedicated employees for their unwavering commitment and outstanding performance.",AI
"A big shoutout to our amazing employees! You guys rock! Thanks for all your hard work!",human
"Your presence at the board meeting is of utmost importance. Please ensure your availability on Tuesday, the 10th of August, at 9:00 AM.",form
"We kindly request that you arrive at least 15 minutes prior to the scheduled start time.",AI
"Hey, make sure you're here 15 minutes early. We don't want to start without you!",human
"Please accept our sincerest apologies for any inconvenience caused by the temporary service disruption.",AI
"Oops, sorry about the service interruption! We're working on it and should be back up soon.",human
"We appreciate your attention to this matter and look forward to your prompt response.",AI
"Thanks for checking this out! Let us know what you think as soon as possible.",human
"Due to unforeseen circumstances, the deadline for submission has been extended to Friday, the 20th of October.",AI
"Good news! We're giving you some extra time. The deadline for submission is now Friday, October 20th.",human
"Your feedback is highly valuable to us and will help us improve our products and services.",AI
"We want to hear from you! Your feedback is super important and will help us make things even better.",human
"We sincerely apologize for any confusion that may have arisen from the recent changes.",AI
"Sorry if things got a bit confusing lately. We're working to sort it out and make it clearer.",human
"We are delighted to announce the launch of our new website, showcasing our latest innovations.",AI
"Hey, check out our brand new website! We've got some awesome stuff to show you.",human
"Your account has been temporarily locked for security reasons. Please contact our support team for assistance.",AI
"Uh-oh, looks like your account got locked for security. No worries, just reach out to our support team, and we'll sort it out.",human
"Kindly note that the dress code for the upcoming event is AI attire.",AI
"Hey, remember to dress fancy for the event! It's gonna be a blast.",human
"Your request has been successfully submitted, and our team will review it shortly.",AI
"Done! We got your request. Our team will take a look and get back to you soon.",human
"Please be advised that the office will be closed on Monday, the 4th of September, in observance of the national holiday.",AI
"Hey, heads up! We're closed on Monday, September 4th, for the holiday. Enjoy your day off!",human
"We extend our warmest congratulations on your well-deserved promotion.",AI
"Congrats on the promotion! You totally deserve it. You're awesome!",human
"Your payment has been received and processed successfully. Thank you for your prompt payment.",AI
"Thanks for paying! We got it and processed it smoothly. You're all set.",human
"Kindly note that the seminar has been rescheduled to Tuesday, the 15th of November, due to unforeseen circumstances.",AI
"Hey, just a heads up! The seminar got moved to Tuesday, November 15th. Mark your calendars!",human
"We deeply regret any inconvenience caused and assure you that we are taking immediate action to resolve the issue.",AI
"Sorry for any trouble this caused. We're on it and fixing it ASAP. Thanks for your patience!",human
"Your satisfaction is our top priority, and we strive to provide you with the best possible service.",AI
"In accordance with the regulations, all attendees are required to present a valid photo identification upon arrival.",AI
"We kindly request that you silence your mobile devices during the performance.",human
"Please be informed that the submission deadline for the research paper is set for Monday, the 30th of August.",AI
"We appreciate your cooperation and adherence to the safety guidelines outlined by the authorities.",human
"It is with great pleasure that we announce the appointment of Mr. John Smith as the new CEO of our company.",AI
"Hey, make sure you bring your ID with you when you come.",human
"Don't forget to put your phone on silent during the show.",human
"Just a heads up, the deadline for submitting the research paper is Monday, August 30th.",human
"Thanks for following the safety rules. We appreciate it!",human
"Guess what? We've got a new CEO! Say hello to John Smith.",human
"Advancements in technology have revolutionized various industries, including healthcare, finance, and transportation. With the introduction of artificial intelligence (AI) and machine learning (ML), businesses have gained the ability to analyze vast amounts of data, automate processes, and make more informed decisions. AI-powered solutions have the potential to streamline operations, improve customer experiences, and drive innovation. However, it is important to consider the ethical implications of AI and ensure that these technologies are developed and used responsibly. Privacy, security, and transparency should be prioritized to build trust with users and mitigate potential risks. By leveraging AI responsibly, we can unlock the full potential of these technologies and create a brighter future.",AI
"Technology has totally changed the game in industries like healthcare, finance, and transportation. Now, with stuff like AI and machine learning, businesses can crunch huge amounts of data, automate things, and make smarter choices. AI-powered solutions are all about making things smoother, improving how customers feel, and coming up with cool new ideas. But hey, let's not forget about ethics! We gotta make sure we're using AI the right way, with privacy, security, and transparency in mind. Building trust and playing it safe is key. So, let's be responsible with AI and make the most of what it can do for us. It's gonna be awesome!",human
"The conference will commence promptly at 9:00 AM. We kindly request all attendees to be present in the auditorium by 8:45 AM.",AI
"Hey everyone, the conference starts at 9 AM sharp! Make sure to be there by 8:45 AM so we can get settled.",human
"We would like to extend our sincere gratitude to all the participants for their valuable contributions to the research project.",AI
"A big thank you to everyone who was a part of the research project! Your contributions mean a lot to us.",human
"The annual shareholders' meeting has been rescheduled to Wednesday, the 15th of September, at 2:00 PM.",AI
"Hey shareholders, we had to move the meeting to Wednesday, September 15th, at 2 PM. Mark your calendars!",human
"Please note that the library will be closed on Monday, the 5th of July, in observance of the Independence Day holiday.",AI
"Hey bookworms, just a heads up that the library will be closed on Monday, July 5th, for the 4th of July holiday. Enjoy your day off!",human
"We are thrilled to announce the launch of our new website, featuring enhanced functionality and a user-friendly interface.",AI
"Exciting news! Our awesome new website is live now, with tons of cool features and an easy-to-use design.",human
"Kindly be advised that the deadline for submitting the project proposal is Friday, the 25th of June, at 5:00 PM.",AI
"Hey team, don't forget! The deadline for submitting the project proposal is Friday, June 25th, by 5 PM. Let's get it done!",human
"The company's policy strictly prohibits the use of personal devices during working hours.",AI
"Remember, folks, personal devices are a no-go during work hours. Let's stay focused and productive!",human
"We regret to inform you that the event has been canceled due to unforeseen circumstances.",AI
"Sorry, everyone. The event has been canceled because of some unexpected stuff. We'll make it up to you soon!",human
"Your application has been successfully submitted. We will review it and get back to you within the next two weeks.",AI
"Woo-hoo! Your application went through! We'll take a look at it and get back to you in the next couple of weeks.",human
"We extend our warmest congratulations to Mr. Robert Johnson on his well-deserved promotion to the position of Vice President.",AI
"Congrats, Bob! You totally earned that promotion to Vice President. Way to go!",human
"Our esteemed guests are requested to adhere to the formal dress code for the charity gala.",AI
"Hey folks, let's dress to impress for the charity gala! Suit up and look your best!",human
"The deadline for registration is approaching. Secure your spot by completing the online registration form by Friday, the 10th of August.",AI
"Time's running out! Register now to grab your spot before it's too late. Fill out the online form by Friday, August 10th.",human
"The training session will take place in the conference room on the second floor. Please proceed to the designated area upon arrival.",AI
"Hey team, our training session is happening in the conference room on the second floor. When you get here, head straight to the right place!",human
"The safety and well-being of our employees are of utmost importance. Please ensure that you follow all safety protocols",AI
"Dear valued customers, we are pleased to inform you that our store will be hosting a special sale event on Saturday, the 10th of July, from 9:00 AM to 6:00 PM.",AI
"Hey there, awesome customers! Get ready for a mega sale this Saturday, July 10th, from 9 AM to 6 PM. It's gonna be epic!",human
"We would like to express our sincere appreciation to all the volunteers for their selfless dedication to the community.",AI
"Shoutout to all the amazing volunteers! You rock! Thanks for your incredible dedication to our community.",human
"In light of the recent developments, we have decided to reschedule the board meeting to Tuesday, the 20th of September, at 3:00 PM.",AI
"Hey everyone, quick update! We had to move the board meeting to Tuesday, September 20th, at 3 PM. See you there!",human
"Please note that the swimming pool will be closed for maintenance from Monday, the 5th of July, to Wednesday, the 7th of July.",AI
"Hey swimmers, heads up! The pool will be closed for maintenance from Monday, July 5th, to Wednesday, July 7th. Stay dry!",human
